题目,选项A,选项B,选项C,选项D,答案
1. What is the primary reason we read stories?,For factual information,For emotional and intellectual pleasures,To learn a new skill,To pass time,B
2. What type of narrative work is considered the most important in the realm of fiction?,Short story,Fable,Novel,Novella,C
3. Which of the following is NOT a characteristic of the novel compared to other narrative works?,Greater openness,Flexibility,Shorter length,Full development of characters,C
4. What is the main difference between a plot and a story?,"A plot is a sequence of events, while a story is the setting of those events.","A plot is the selected version of events, while a story is the raw material of events.","A plot is the theme of the story, while a story is the characters.","A plot is the style of writing, while a story is the narrative.",B
5. What is the role of setting in a story?,It only provides a historical and cultural context.,It is merely a backdrop for the action.,It enhances the understanding of characters and may symbolize their emotional state.,It is unrelated to the characters and plot.,C
6. Which literary form is known as the “blessed” form according to Henry James?,The novel,The short story,The novella,The fable,C
7. What is the main idea or point of a story called?,The subject,The theme,The plot,The style,B
8. What is the term used to describe the writer’s verbal identity?,Irony,Symbol,Style,Point of view,C
9. Who is considered the author of the first true novel?,Miguel de Cervantes,Daniel Defoe,Charles Dickens,Geoffrey Chaucer,A
10. What type of novel became popular in the late eighteenth century?,The historical novel,The sentimental novel,The detective novel,The picaresque novel,B
11. Which of the following is NOT a characteristic of naturalism?,Precision in describing human life,Emphasis on human helplessness,Focus on minute details,Emphasis on the power and control of individuals,D
12. Who are known as the spokesmen of naturalism?,Stephen Crane and Jack London,Joseph Conrad and William Faulkner,James Joyce and Virginia Woolf,Thomas Pynchon and Kurt Vonnegut,A
13. What is the main focus of postmodernism in literature?,"Myth, symbol, or formal complexity",Absurdist or meaningless confusion of contemporary existence,Realistic portrayal of industrial progress,Emotional extravagance and close association between virtue and sensibility,B
14. What technique did modernist writers like James Joyce and Virginia Woolf attempt in their fiction?,Stream-of-consciousness,Multiple point of view,Juxtaposition,All of the above,D
15. What has recently given short stories a new life?,Print magazines,Literary theories,"Online publications, collections, and blogs",Commercial magazines,C
1. What is the primary purpose of a plot in a narrative?,To provide background information,To achieve a desired effect through a careful arrangement of incidents,To introduce the characters,To create a setting,B
2. What does the example “The king died and then the queen died” lack to be considered a plot?,A climax,An exposition,A causal relationship,A resolution,C
3. What type of conflict involves the protagonist’s struggle with themselves?,External conflict,Internal conflict,Social conflict,Environmental conflict,B
4. In which Virginia Woolf novel are the characters’ individual anxieties and ecstasies explored through interior monologues?,To the Lighthouse,Orlando,The Waves,Mrs. Dalloway,C
5. What is the term used for a story that focuses on the protagonist’s journey from youth to maturity?,Bildungsroman,Picaresque,Satire,Allegory,A
"6. In Tess of the d’Urbervilles, what does Tess conflict with besides two men?",The government,Society,"The industrial world, nature, and Fate",Technology,C
7. What part of the plot structure provides necessary background information about the story?,The climax,The falling action,The exposition,The resolution,C
8. What is the usual order of the plot structure elements?,"Exposition, climax, complication(s), falling action, resolution","Exposition, complication(s), climax, falling action, resolution","Climax, exposition, complication(s), falling action, resolution","Falling action, exposition, complication(s), climax, resolution",B
9. What is the main focus of the exposition in a story?,The main conflict,The setting and introduction of characters,The climax of the story,The resolution of the story,B
"10. In “A Rose for Emily,” what is Emily in conflict with?",Two men in her life,The society of a small town,Her own family,The government,B
11. What is the climax in a plot?,The beginning of the story,The highest point of tension in the story,The end of the story,The background information,B
12. What is the falling action in a plot?,The part where the story begins,The part where the conflicts start to be resolved,The part where the story reaches its highest tension,The part where the background information is provided,B
13. What is the resolution in a plot?,The part where the story’s loose ends are tied up,The part where the main conflict is introduced,The part where the story reaches its highest tension,The part where the background information is provided,A
14. What is an external conflict?,A conflict within the protagonist’s mind,A conflict between the protagonist and other characters or forces,A conflict between two minor characters,A conflict that occurs within the setting,B
15. What is the main purpose of the falling action in a plot?,To introduce new conflicts,To resolve the main conflict,To provide a conclusion to the story,To increase the tension in the story,B
1. What is the primary reason readers are interested in characters in fiction?,To learn about different cultures,To see what happens to them,To understand the plot better,To compare them with real people,B
"2. According to E. M. Forster, what type of character can surprise the reader without losing credibility?",Flat characters,Round characters,Static characters,Active characters,B
3. Who is generally considered the main character in a story?,The antagonist,The protagonist,The minor character,The foil,B
4. What kind of characters are often used to emphasize the protagonist’s characteristics?,Flat characters,Round characters,Foils,Stereotype characters,C
5. What is the purpose of a stereotype character in a story?,To represent an individual,To symbolize certain virtues or vices,To add complexity to the story,To provide comic relief,B
6. What type of character is almost incapable of change?,A round character,A flat character,A static character,A dynamic character,C
7. What is another term used to describe a static character?,Open character,Closed character,Active character,Minor character,B
8. How can a character’s actions be used in characterization?,By imitating other characters,By showing their thoughts,By revealing their education,By showing rather than telling,D
9. What is the purpose of direct characterization?,To offer background information,To surprise the reader,To emphasize the protagonist,To provide comic relief,A
10. In which novel does the character Annie’s violent slap reveal her indignation?,The Adventures of Huckleberry Finn,Jane Eyre,"Tickets, Please",Aspects of the Novel,C
11. What is the main focus of a writer’s characterization?,The plot,The truth of the human condition,The setting,The conflict,B
12. How can the success of an author’s characterization be judged?,By the plausibility and consistency of a character’s actions,By the number of characters in the story,By the complexity of the characters,By the reader’s ability to relate to the characters,A
13. What is the role of minor characters in a story?,To serve as the main focus,To deliver important items or information,To overshadow the protagonist,To create conflict,B
